doctor_name,specialization,city,clinic,rating,reviews_count,experience_years,price,consultation_format,source,profile_url
Андреева Евгения Александровна,Офтальмолог (окулист),Алматы,Visiomed-Офтальмологическая клиника на Навои,5,1,13,13500,,idoctor.kz,https://idoctor.kz/almaty/doctor/1226364-andreeva-evgeniya-aleksandrovna
Андреева Евгения Александровна,Офтальмолог (окулист),Алматы,Visiomed-Офтальмологическая клиника на Навои,5,1,13,13500,,idoctor.kz,https://idoctor.kz/almaty/doctor/1226364-andreeva-evgeniya-aleksandrovna#review
Самсонов Евгений Сергеевич,Невролог (Невропатолог),Алматы,Atlant clinic - Реабилитационный центр,5,3,11,17000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1226368-samsonov-evgeniy-sergeevich
Самсонов Евгений Сергеевич,Невролог (Невропатолог),Алматы,Atlant clinic - Реабилитационный центр,5,3,11,17000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1226368-samsonov-evgeniy-sergeevich#review
Мусабаева Рысты Еркінбекқызы,Офтальмолог (окулист),Алматы,Глазная клиника доктора Кравцова,,,6,15000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1226383-musabaeva-rysty-erkinbekyzy
Мусабаева Рысты Еркінбекқызы,Офтальмолог (окулист),Алматы,Глазная клиника доктора Кравцова,,,6,15000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1226383-musabaeva-rysty-erkinbekyzy#review
Костяев Артур Игоревич,Психолог,Алматы,Кабинет психолога-аддиктолога Костяева А.И.,5,27,7,25000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1227012-kostyaev-artur-igorevich
Костяев Артур Игоревич,Психолог,Алматы,Кабинет психолога-аддиктолога Костяева А.И.,5,27,7,25000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1227012-kostyaev-artur-igorevich#review
Ахметова Камилла Болаткановна,Психолог,Алматы,Асар Медикус - Медицинский центр на Брусиловского,5,12,17,20000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1227044-akhmetova-kamilla-bolatkanovna
Ахметова Камилла Болаткановна,Психолог,Алматы,Асар Медикус - Медицинский центр на Брусиловского,5,12,17,20000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1227044-akhmetova-kamilla-bolatkanovna#review
Жангабылова Малика Евгеньевна,ВОП (врач общей практики),Алматы,Uki - Многопрофильная клиника,5,5,5,15000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1227056-zhangabylova-malika-evgenevna
Жангабылова Малика Евгеньевна,ВОП (врач общей практики),Алматы,Uki - Многопрофильная клиника,5,5,5,15000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1227056-zhangabylova-malika-evgenevna#review
