doctor_name,specialization,city,clinic,rating,reviews_count,experience_years,price,consultation_format,source,profile_url
Вадим Нурисламов,общей практики,,Городская поликлиника №1,0.00,0,20,1000,Онлайн,doctorline.kz,https://doctorline.kz/doctors/11
Ансар Негмет,общей практики,,Городская поликлиника №1,0.00,0,5,5000,Онлайн,doctorline.kz,https://doctorline.kz/doctors/15
Жанат Молдашев,общей практики,,Городская поликлиника №1,0.00,0,5,1000,Онлайн,doctorline.kz,https://doctorline.kz/doctors/16
Гульнара Балташева,Педиатр,,Городская поликлиника №1,0.00,0,24,1000,Онлайн,doctorline.kz,https://doctorline.kz/doctors/7
