doctor_name,specialization,experience_years,clinic,city,rating,reviews_count,profile_url
Ирисбаев Иса Бабирович,Врач КТ • Врач МРТ,,"Медицинский центр ""DAUMED""",Шымкент,0,0,https://doctor.kz/doctors/564930101698830123
Сергазин Женис Раимжанович,Хирург,,Областная клиническая больница Туркестанской области,Шымкент,5,0,https://doctor.kz/doctors/130589931545978200
Кудлай Сергей Павлович,Проктолог • Хирург,,"Медицинский центр ""ИНТЕРМЕДИКАЛ""",Талгар,0,0,https://doctor.kz/doctors/4358621720524108
Оразбаев Данияр Жаханович,Ортопед • Травматолог,,"Медицинский центр ""DAUMED""",Шымкент,0,0,https://doctor.kz/doctors/760835981698910343
Ким Диана Дмитриевна,Врач УЗИ,,"ТОО ""Центр молекулярной медицины""",Алматы,0,0,https://doctor.kz/doctors/535050871695984518
Булешова Наталья Валерьевна,Акушер-гинеколог,,"Медицинский центр ""DAUMED""",Шымкент,0,0,https://doctor.kz/doctors/560889431698907412
Славко Елена Алексеевна,Инфекционист,,"Медицинский центр ""A CLINIC""",Алматы,0,0,https://doctor.kz/doctors/716472421439272149
Усенбаев Нуртилек Усенбаевич,Невропатолог/ Невролог • Реабилитолог,,"Клиника ранней реабилитации ""STIMUL"" калыбына келтируу клиникасы",Бишкек,0,0,https://doctor.kz/doctors/90309601681986648
Атаханова Зарина Юсупжановна,Врач УЗИ,,"Медицинский центр ""PREMIUM CLINIC"" на Дулати",Шымкент,0,0,https://doctor.kz/doctors/788083421701333406
Лысенко Любовь Васильевна,Акушер-гинеколог • Гинеколог,,"Клиника ""ДОСТАР МЕД А"" в мкр Айнабулак 2, 71 Д",Алматы,0,0,https://doctor.kz/doctors/600535741693907611
Төкен Ақбаян Насрединқызы,Пульмонолог,,Городская клиническая больница №1,Алматы,0,0,https://doctor.kz/doctors/531588231698218648
Петина Татьяна Владимировна,Офтальмолог/ Окулист,,"ТОО ""Лазерный центр Коновалова""",Алматы,0,0,https://doctor.kz/doctors/43726181605698630
Мухитдинова Камила Анваровна,Ревматолог,,"Медицинский центр ""PREMIUM CLINIC"" на Дулати",Шымкент,0,0,https://doctor.kz/doctors/869982301701333267
Абдрахманов Анвар Женисович,Врач УЗИ,,"Филиал товарищества с ограниченной ответственностью ""OPEN CLINIC"" в г. Алматы",Алматы,0,0,https://doctor.kz/doctors/302480431671439531
Мамаев Якуб Хасымович,Гинеколог,,"Медицинский центр ""DAUMED""",Шымкент,0,1,https://doctor.kz/doctors/420603641698913400
Ильясов Нуржан Нуржаубекулы,Андролог • Уролог,,"Урологический центр ""ATLAS Clinic""",Алматы,0,0,https://doctor.kz/doctors/588396411658910733
Құсаинов Таир,ЛОР/ Оториноларинголог,,"ЛОР-центр ""АЙ-МЕДИКУС"" в Мамыре",Алматы,0,0,https://doctor.kz/doctors/553235331693457722
